Stage,Problem,AC_Count,Tag
statements-3-0,A,420,thinking
statements-3-0,B,4,string
statements-3-0,C,382,thinking
statements-3-0,D,51,thinking
statements-3-0,E,0,dp
statements-3-0,F,4,thinking
statements-3-0,G,47,dp
statements-3-0,H,34,geometry
statements-3-0,I,31,dp
statements-3-0,J,50,thinking
statements-3-0,K,1,geometry
statements-3-0,L,1,geometry
statements-3-0,M,29,dp
statements-3-1,A,145,thinking
statements-3-1,B,33,geometry
statements-3-1,C,339,thinking
statements-3-1,D,292,interactive
statements-3-1,E,22,math
statements-3-1,F,19,geometry
statements-3-1,G,100,graph
statements-3-1,H,358,thinking
statements-3-1,I,3,geometry
statements-3-1,J,272,math
statements-3-1,K,345,erase
statements-3-1,L,11,dp
statements-3-1,M,18,thiking
statements-3-1,N,150,interactive
statements-3-1,O,345,math
statements-3-2,A,53,graph
statements-3-2,B,2,tree
statements-3-2,C,57,thinking
statements-3-2,D,55,dp
statements-3-2,E,19,string
statements-3-2,F,2,thiking
statements-3-2,G,3,
statements-3-2,H,50,
statements-3-2,I,1,
statements-3-2,J,1,
statements-3-2,K,16,
statements-3-2,L,5,
statements-3-2,M,13,
statements-3-3,A,57,
statements-3-3,B,5,
statements-3-3,C,50,
statements-3-3,D,57,
statements-3-3,E,51,
statements-3-3,F,15,
statements-3-3,G,50,
statements-3-3,H,14,
statements-3-3,I,17,
statements-3-3,J,49,
statements-3-3,K,3,
statements-3-3,L,4,
statements-3-4,A,4,
statements-3-4,B,5,
statements-3-4,C,4,
statements-3-4,D,4,
statements-3-4,E,5,
statements-3-4,F,1,
statements-3-4,G,3,
statements-3-4,H,5,
statements-3-4,I,0,
statements-3-4,J,5,
statements-3-4,K,3,
statements-3-4,L,5,
statements-3-4,M,1,
statements-3-4,N,5,
statements-3-4,O,2,
statements-3-4,P,1,
statements-3-4,Q,5,
statements-3-5,A,44,
statements-3-5,B,42,
statements-3-5,C,6,
statements-3-5,D,4,
statements-3-5,E,16,
statements-3-5,F,24,
statements-3-5,G,18,
statements-3-5,H,0,
statements-3-5,I,22,
statements-3-5,J,2,
statements-3-5,K,7,
statements-3-5,L,4,
statements-3-5,M,45,
statements-3-6,A,54,
statements-3-6,B,34,
statements-3-6,C,26,
statements-3-6,D,17,
statements-3-6,E,0,
statements-3-6,F,2,
statements-3-6,G,11,
statements-3-6,H,44,
statements-3-6,I,13,
statements-3-6,J,43,
statements-3-6,K,56,
statements-3-6,L,25,
statements-3-7,A,0,
statements-3-7,B,0,
statements-3-7,C,0,
statements-3-7,D,0,
statements-3-7,E,0,
statements-3-7,F,0,
statements-3-7,G,0,
statements-3-7,H,0,
statements-3-7,I,0,
statements-3-7,J,0,
statements-3-7,K,0,
statements-3-7,L,0,
statements-3-7,M,0,
statements-3-8,A,23,
statements-3-8,B,18,
statements-3-8,C,179,
statements-3-8,D,6,
statements-3-8,E,33,
statements-3-8,F,402,
statements-3-8,G,0,
statements-3-8,H,20,
statements-3-8,I,1,
statements-3-8,J,73,
statements-3-8,K,1,
statements-3-8,L,4,
statements-3-8,M,240,
statements-3-9,A,30,
statements-3-9,B,13,
statements-3-9,C,0,
statements-3-9,D,5,
statements-3-9,E,108,
statements-3-9,F,51,
statements-3-9,G,317,
statements-3-9,H,278,
statements-3-9,I,34,
statements-3-9,J,37,
statements-3-9,K,3,
statements-3-9,L,0,
statements-3-9,M,1,
statements-3-9,N,358,
statements-3-10,A,0,
statements-3-10,B,0,
statements-3-10,C,0,
statements-3-10,D,0,
statements-3-10,E,0,
statements-3-10,F,0,
statements-3-10,G,0,
statements-3-10,H,0,
statements-3-10,I,0,
statements-3-10,J,0,
statements-3-10,K,0,
statements-3-10,L,0,
statements-3-10,M,0,
statements-3-11,A,0,
statements-3-11,B,0,
statements-3-11,C,0,
statements-3-11,D,0,
statements-3-11,E,0,
statements-3-11,F,0,
statements-3-11,G,0,
statements-3-11,H,0,
statements-3-11,I,0,
statements-3-11,J,0,
statements-3-11,K,0,
statements-3-11,L,0,
statements-3-11,M,0,
statements-3-11,N,0,
statements-3-11,O,0,
statements-3-12,A,0,
statements-3-12,B,0,
statements-3-12,C,0,
statements-3-12,D,0,
statements-3-12,E,0,
statements-3-12,F,0,
statements-3-12,G,0,
statements-3-12,H,0,
statements-3-12,I,0,
statements-3-12,J,0,
statements-3-12,K,0,
statements-3-12,L,0,
statements-3-12,M,0,
statements-3-13,A,0,
statements-3-13,B,0,
statements-3-13,C,0,
statements-3-13,D,0,
statements-3-13,E,0,
statements-3-13,F,0,
statements-3-13,G,0,
statements-3-13,H,0,
statements-3-13,I,0,
statements-3-13,J,0,
statements-3-13,K,0,
statements-3-13,L,0,
statements-3-13,M,0,
statements-3-13,N,0,
statements-3-13,O,0,
statements-3-14,A,0,
statements-3-14,B,0,
statements-3-14,C,0,
statements-3-14,D,0,
statements-3-14,E,0,
statements-3-14,F,0,
statements-3-14,G,0,
statements-3-14,H,0,
statements-3-14,I,0,
statements-3-14,J,0,
statements-3-14,K,0,
statements-3-14,L,0,
statements-3-14,M,0,
statements-3-15,A,0,
statements-3-15,B,0,
statements-3-15,C,0,
statements-3-15,D,0,
statements-3-15,E,0,
statements-3-15,F,0,
statements-3-15,G,0,
statements-3-15,H,0,
statements-3-15,I,0,
statements-3-15,J,0,
statements-3-15,K,0,
statements-3-15,L,0,
statements-3-15,M,0,
statements-3-16,A,0,
statements-3-16,B,0,
statements-3-16,C,0,
statements-3-16,D,0,
statements-3-16,E,0,
statements-3-16,F,0,
statements-3-16,G,0,
statements-3-16,H,0,
statements-3-16,I,0,
statements-3-16,J,0,
statements-3-16,K,0,
statements-3-16,L,0,
statements-3-16,M,0,
statements-3-17,A,0,
statements-3-17,B,0,
statements-3-17,C,0,
statements-3-17,D,0,
statements-3-17,E,0,
statements-3-17,F,0,
statements-3-17,G,0,
statements-3-17,H,0,
statements-3-17,I,0,
statements-3-17,J,0,
statements-3-17,K,0,
statements-3-17,L,0,
statements-3-17,M,0,
statements-3-18,A,0,
statements-3-18,B,0,
statements-3-18,C,0,
statements-3-18,D,0,
statements-3-18,E,0,
statements-3-18,F,0,
statements-3-18,G,0,
statements-3-18,H,0,
statements-3-18,I,0,
statements-3-18,J,0,
statements-3-18,K,0,
statements-3-18,L,0,
statements-3-18,M,0,
statements-3-19,A,0,
statements-3-19,B,0,
statements-3-19,C,0,
statements-3-19,D,0,
statements-3-19,E,0,
statements-3-19,F,0,
statements-3-19,G,0,
statements-3-19,H,0,
statements-3-19,I,0,
statements-3-19,J,0,
statements-3-19,K,0,
statements-3-19,L,0,
statements-3-19,M,0,
statements-3-20,A,0,
statements-3-20,B,0,
statements-3-20,C,0,
statements-3-20,D,0,
statements-3-20,E,0,
statements-3-20,F,0,
statements-3-20,G,0,
statements-3-20,H,0,
statements-3-20,I,0,
statements-3-20,J,0,
statements-3-20,K,0,
statements-3-20,L,0,
statements-3-20,M,0,
statements-3-21,A,0,
statements-3-21,B,0,
statements-3-21,C,0,
statements-3-21,D,0,
statements-3-21,E,0,
statements-3-21,F,0,
statements-3-21,G,0,
statements-3-21,H,0,
statements-3-21,I,0,
statements-3-21,J,0,
statements-3-21,K,0,
statements-3-21,L,0,
statements-3-21,M,0,
statements-3-22,A,0,
statements-3-22,B,0,
statements-3-22,C,0,
statements-3-22,D,0,
statements-3-22,E,0,
statements-3-22,F,0,
statements-3-22,G,0,
statements-3-22,H,0,
statements-3-22,I,0,
statements-3-22,J,0,
statements-3-22,K,0,
statements-3-22,L,0,
statements-3-22,M,0,
statements-3-23,A,0,
statements-3-23,B,0,
statements-3-23,C,0,
statements-3-23,D,0,
statements-3-23,E,0,
statements-3-23,F,0,
statements-3-23,G,0,
statements-3-23,H,0,
statements-3-23,I,0,
statements-3-23,J,0,
statements-3-23,K,0,
statements-3-23,L,0,
statements-3-23,M,0,
statements-3-24,A,0,
statements-3-24,B,0,
statements-3-24,C,0,
statements-3-24,D,0,
statements-3-24,E,0,
statements-3-24,F,0,
statements-3-24,G,0,
statements-3-24,H,0,
statements-3-24,I,0,
statements-3-24,J,0,
statements-3-24,K,0,
statements-3-24,L,0,
statements-3-25,A,0,
statements-3-25,B,0,
statements-3-25,C,0,
statements-3-25,D,0,
statements-3-25,E,0,
statements-3-25,F,0,
statements-3-25,G,0,
statements-3-25,H,0,
statements-3-25,I,0,
statements-3-25,J,0,
statements-3-25,K,0,
statements-3-25,L,0,
statements-3-25,M,0,
statements-3-26,A,0,
statements-3-26,B,0,
statements-3-26,C,0,
statements-3-26,D,0,
statements-3-26,E,0,
statements-3-26,F,0,
statements-3-26,G,0,
statements-3-26,H,0,
statements-3-26,I,0,
statements-3-26,J,0,
statements-3-26,K,0,
statements-3-26,L,0,
statements-3-27,A,0,
statements-3-27,B,0,
statements-3-27,C,0,
statements-3-27,D,0,
statements-3-27,E,0,
statements-3-27,F,0,
statements-3-27,G,0,
statements-3-27,H,0,
statements-3-27,I,0,
statements-3-27,J,0,
statements-3-27,K,0,
statements-3-27,L,0,
statements-3-27,M,0,
statements-3-28,A,0,
statements-3-28,B,0,
statements-3-28,C,0,
statements-3-28,D,0,
statements-3-28,E,0,
statements-3-28,F,0,
statements-3-28,G,0,
statements-3-28,H,0,
statements-3-28,I,0,
statements-3-28,J,0,
statements-3-28,K,0,
statements-3-29,A,0,
statements-3-29,B,0,
statements-3-29,C,0,
statements-3-29,D,0,
statements-3-29,E,0,
statements-3-29,F,0,
statements-3-29,G,0,
statements-3-29,H,0,
statements-3-29,I,0,
statements-3-29,J,0,
statements-3-29,K,0,
statements-3-29,L,0,
statements-3-29,M,0,
statements-3-30,A,0,
statements-3-30,B,0,
statements-3-30,C,0,
statements-3-30,D,0,
statements-3-30,E,0,
statements-3-30,F,0,
statements-3-30,G,0,
statements-3-30,H,0,
statements-3-30,I,0,
statements-3-30,J,0,
statements-3-30,K,0,
statements-3-30,L,0,
statements-3-31,A,0,
statements-3-31,B,0,
statements-3-31,C,0,
statements-3-31,D,0,
statements-3-31,E,0,
statements-3-31,F,0,
statements-3-31,G,0,
statements-3-31,H,0,
statements-3-31,I,0,
statements-3-31,J,0,
statements-3-31,K,0,
statements-3-31,L,0,
statements-3-32,A,0,
statements-3-32,B,0,
statements-3-32,C,0,
statements-3-32,D,0,
statements-3-32,E,0,
statements-3-32,F,0,
statements-3-32,G,0,
statements-3-32,H,0,
statements-3-32,I,0,
statements-3-32,J,0,
statements-3-32,K,0,
statements-3-32,L,0,
statements-3-32,M,0,
statements-3-33,A,0,
statements-3-33,B,0,
statements-3-33,C,0,
statements-3-33,D,0,
statements-3-33,E,0,
statements-3-33,F,0,
statements-3-33,G,0,
statements-3-33,H,0,
statements-3-33,I,0,
statements-3-33,J,0,
statements-3-33,K,0,
statements-3-33,L,0,
statements-3-33,M,0,
statements-3-33,N,0,
statements-3-34,A,0,
statements-3-34,B,0,
statements-3-34,C,0,
statements-3-34,D,0,
statements-3-34,E,0,
statements-3-34,F,0,
statements-3-34,G,0,
statements-3-34,H,0,
statements-3-34,I,0,
statements-3-34,J,0,
statements-3-34,K,0,
statements-3-34,L,0,
statements-3-34,M,0,
statements-3-34,N,0,
statements-3-34,O,0,
statements-3-35,A,0,
statements-3-35,B,0,
statements-3-35,C,0,
statements-3-35,D,0,
statements-3-35,E,0,
statements-3-35,F,0,
statements-3-35,G,0,
statements-3-35,H,0,
statements-3-35,I,0,
statements-3-35,J,0,
statements-3-35,K,0,
statements-3-35,L,0,
statements-3-36,A,0,
statements-3-36,B,0,
statements-3-36,C,0,
statements-3-36,D,0,
statements-3-36,E,0,
statements-3-36,F,0,
statements-3-36,G,0,
statements-3-36,H,0,
statements-3-36,I,0,
statements-3-36,J,0,
statements-3-36,K,0,
statements-3-36,L,0,
statements-3-36,M,0,
statements-3-37,A,0,
statements-3-37,B,0,
statements-3-37,C,0,
statements-3-37,D,0,
statements-3-37,E,0,
statements-3-37,F,0,
statements-3-37,G,0,
statements-3-37,H,0,
statements-3-37,I,0,
statements-3-37,J,0,
statements-3-37,K,0,
statements-3-37,L,0,
statements-3-37,M,0,
statements-3-39,A,0,
statements-3-39,B,0,
statements-3-39,C,0,
statements-3-39,D,0,
statements-3-39,E,0,
statements-3-39,F,0,
statements-3-39,G,0,
statements-3-39,H,0,
statements-3-39,I,0,
statements-3-39,J,0,
statements-3-39,K,0,
statements-3-39,L,0,
statements-3-39,M,0,
statements-3-39,N,0,
statements-3-39,O,0,
statements-3-39,P,0,
statements-3-39,Q,0,
statements-3-40,A,0,
statements-3-40,B,0,
statements-3-40,C,0,
statements-3-40,D,0,
statements-3-40,E,0,
statements-3-40,F,0,
statements-3-40,G,0,
statements-3-40,H,0,
statements-3-40,I,0,
statements-3-40,J,0,
statements-3-40,K,0,
statements-3-40,L,0,
statements-3-40,M,0,
statements-3-40,N,0,
